marital,default,housing-loan,personal-loan,current-campaign,previous-campaign,age,job,subscribed,education,balance
single,no,yes,no,1,0,23,management,no,tertiary,736
married,no,no,no,2,0,32,management,no,tertiary,1390
married,no,no,no,1,0,57,retired,no,primary,808
married,no,no,no,1,2,48,management,yes,tertiary,1147
married,no,no,no,1,0,49,services,no,secondary,1122
married,no,yes,yes,2,0,50,technician,no,secondary,-568
married,no,yes,no,2,0,33,blue-collar,no,primary,1165
divorced,no,yes,no,1,0,53,services,no,secondary,-905
married,no,yes,no,1,0,30,unemployed,no,tertiary,0
married,no,no,no,3,0,38,technician,no,secondary,740
married,no,yes,no,16,0,44,management,no,secondary,8262
single,no,yes,yes,9,0,39,admin.,no,secondary,14
single,no,yes,yes,1,3,45,technician,no,unknown,7108
married,no,yes,no,4,0,36,blue-collar,yes,secondary,1049
married,no,yes,no,5,1,38,blue-collar,no,secondary,0
married,no,yes,no,1,0,36,housemaid,no,secondary,419
single,no,yes,no,1,3,30,management,no,tertiary,726
divorced,no,yes,yes,3,0,28,technician,no,tertiary,594
married,no,yes,yes,18,0,26,unemployed,no,tertiary,454
married,no,no,no,1,2,54,unknown,yes,secondary,2206
married,no,no,no,2,2,38,admin.,yes,tertiary,1988
single,no,no,no,2,0,32,technician,no,tertiary,0
divorced,no,no,yes,1,0,50,admin.,no,secondary,202
married,no,yes,no,3,0,43,blue-collar,no,secondary,667
married,no,no,no,5,0,48,admin.,no,secondary,112
married,no,no,no,3,0,57,housemaid,no,primary,50
married,no,no,no,2,1,64,housemaid,no,primary,768
divorced,no,yes,no,6,0,26,services,no,secondary,74
married,no,yes,no,1,0,33,blue-collar,yes,secondary,661
married,no,no,yes,3,0,50,self-employed,no,secondary,3025
married,no,no,no,14,0,47,self-employed,no,tertiary,751
single,no,no,no,4,0,39,management,no,tertiary,416
married,no,no,yes,5,0,52,services,no,primary,14
single,no,yes,no,4,0,31,blue-collar,no,primary,-502
married,no,no,no,5,0,50,blue-collar,no,primary,0
married,no,yes,no,3,0,47,technician,no,secondary,599
single,no,yes,no,15,0,30,management,no,tertiary,-218
single,no,no,no,1,0,32,technician,no,tertiary,1012
married,no,no,no,1,0,36,technician,no,secondary,300
married,no,yes,no,1,2,46,technician,no,tertiary,217
divorced,no,no,no,1,2,45,management,no,tertiary,2096
single,no,no,no,2,0,37,technician,no,secondary,0
married,no,yes,no,4,0,58,housemaid,no,primary,5278
married,no,no,no,1,1,59,management,no,tertiary,1831
married,no,yes,no,1,0,28,management,no,tertiary,1480
married,no,yes,no,3,0,48,management,no,tertiary,7289
married,no,no,no,2,0,55,blue-collar,no,unknown,1665
single,no,yes,no,1,1,37,blue-collar,no,primary,851
married,no,no,no,1,0,41,management,no,tertiary,2885
married,no,no,yes,1,12,35,blue-collar,no,secondary,137
single,no,yes,no,1,0,34,blue-collar,no,secondary,1239
single,no,no,no,1,5,43,management,no,tertiary,146
married,no,no,no,2,3,59,technician,yes,secondary,1
divorced,no,no,yes,6,0,50,blue-collar,no,primary,-10
married,no,no,no,2,8,37,technician,yes,secondary,480
married,no,yes,no,2,1,35,technician,no,secondary,2789
single,no,no,no,1,0,50,technician,no,secondary,3897
divorced,no,no,yes,3,0,36,technician,no,secondary,487
married,no,yes,no,1,0,41,admin.,no,secondary,5110
married,no,yes,no,4,0,28,management,no,tertiary,318
single,no,yes,no,5,3,42,technician,no,tertiary,-411
married,no,no,no,1,0,60,retired,no,secondary,4820
single,no,yes,no,3,0,28,management,no,tertiary,4937
married,no,no,yes,1,0,48,entrepreneur,no,secondary,725
married,no,no,no,1,0,51,entrepreneur,no,tertiary,5403
married,no,no,no,7,3,32,technician,no,tertiary,4089
married,no,no,no,2,0,35,technician,no,tertiary,188
married,no,no,no,1,2,37,technician,yes,unknown,189
divorced,no,yes,no,1,0,38,blue-collar,no,secondary,2998
married,no,no,no,3,0,77,retired,no,secondary,610
single,no,no,no,1,0,32,management,no,unknown,787
divorced,no,no,no,3,0,43,technician,no,secondary,167
single,no,yes,no,2,3,36,management,no,tertiary,243
married,no,no,no,3,0,29,management,no,tertiary,877
single,no,yes,no,1,0,32,admin.,no,secondary,2817
divorced,no,yes,yes,1,0,41,management,no,tertiary,4567
single,no,yes,yes,3,0,26,services,no,secondary,127
married,no,no,no,1,0,34,blue-collar,no,primary,176
married,no,yes,yes,1,0,57,retired,yes,tertiary,0
single,no,yes,no,2,1,36,services,no,secondary,1482
married,no,yes,no,1,0,42,blue-collar,no,secondary,3052
divorced,no,no,no,12,0,35,technician,no,secondary,56
divorced,no,yes,no,2,0,52,entrepreneur,no,primary,278
single,no,yes,no,5,0,36,management,no,tertiary,3875
married,no,yes,no,1,0,46,technician,no,secondary,-337
divorced,no,no,no,1,0,60,management,yes,tertiary,366
married,no,yes,yes,2,0,57,housemaid,no,primary,501
married,no,yes,no,3,0,48,management,no,tertiary,998
married,no,yes,no,2,0,59,self-employed,no,primary,0
married,no,no,no,2,0,39,management,no,tertiary,246
married,no,yes,yes,10,0,44,blue-collar,no,secondary,-182
single,no,no,no,3,0,27,management,no,tertiary,446
married,no,no,no,2,0,59,retired,no,secondary,1173
divorced,no,yes,no,2,0,36,technician,no,secondary,5957
married,no,no,no,1,0,44,admin.,yes,secondary,205
married,no,no,no,4,0,50,admin.,no,secondary,0
divorced,no,yes,no,3,0,41,management,no,tertiary,369
married,no,no,yes,1,1,47,admin.,no,secondary,1934
single,no,no,no,4,0,32,technician,no,tertiary,259
married,no,yes,yes,6,0,38,blue-collar,no,secondary,284
married,no,no,no,2,0,55,blue-collar,no,unknown,23
single,no,no,no,4,0,38,management,no,tertiary,1373
single,no,yes,no,1,5,31,management,no,tertiary,62
divorced,no,no,no,5,0,38,blue-collar,no,secondary,157
single,no,no,no,1,0,29,unemployed,no,tertiary,991
married,no,yes,yes,1,0,55,services,no,secondary,186
married,no,yes,no,4,1,35,unemployed,no,secondary,977
single,no,no,no,3,0,40,self-employed,no,tertiary,2893
married,no,yes,yes,1,0,34,blue-collar,no,secondary,1897
single,no,no,no,1,1,32,technician,yes,tertiary,5514
married,no,yes,no,1,6,33,blue-collar,no,secondary,889
married,no,yes,no,1,0,33,management,yes,tertiary,273
married,no,no,no,2,0,37,admin.,no,secondary,1193
married,no,no,no,1,0,58,management,no,tertiary,2729
single,no,no,no,1,0,36,admin.,no,secondary,0
married,no,yes,no,7,0,42,blue-collar,no,secondary,230
single,no,yes,no,1,1,34,technician,no,secondary,2729
married,no,yes,no,3,0,35,management,no,tertiary,317
married,no,no,no,3,0,60,housemaid,no,primary,517
married,no,yes,no,2,3,50,management,no,tertiary,-470
single,no,no,no,2,0,28,self-employed,yes,tertiary,4579
divorced,no,yes,no,3,0,27,blue-collar,no,secondary,1
married,no,no,no,1,0,37,management,yes,tertiary,5106
married,no,yes,no,4,0,31,technician,yes,tertiary,636
married,no,no,no,1,6,34,services,yes,secondary,1076
married,no,yes,no,2,0,38,management,no,tertiary,126
married,no,yes,no,3,0,32,self-employed,no,secondary,-33
married,no,no,no,4,0,37,technician,no,secondary,430
married,no,yes,no,2,0,33,admin.,no,secondary,-6
married,no,no,no,2,3,71,technician,no,tertiary,383
married,no,yes,no,3,0,27,technician,no,secondary,130
married,no,no,no,1,0,38,blue-collar,no,primary,2569
single,no,no,no,2,0,34,technician,no,secondary,201
divorced,no,no,no,1,0,54,retired,yes,tertiary,0
married,no,yes,no,3,0,30,blue-collar,no,secondary,6
single,no,no,yes,4,0,35,entrepreneur,no,secondary,475
single,no,yes,no,1,1,33,blue-collar,no,secondary,706
married,no,yes,no,1,1,36,management,no,secondary,1825
married,no,no,no,5,1,59,self-employed,no,tertiary,185
married,no,no,no,1,0,72,blue-collar,no,primary,4415
married,no,no,no,3,0,64,management,no,tertiary,679
divorced,no,no,no,1,0,53,technician,no,secondary,320
single,no,yes,no,1,0,35,management,no,tertiary,2988
married,no,yes,no,1,0,58,self-employed,no,secondary,1407
married,no,no,no,2,0,40,technician,no,secondary,1270
divorced,no,yes,no,2,0,41,services,no,secondary,654
married,no,yes,no,8,0,48,retired,no,primary,5173
married,no,yes,yes,3,0,44,entrepreneur,no,tertiary,3463
married,no,no,no,1,3,39,blue-collar,no,unknown,0
married,no,no,no,3,0,61,management,yes,tertiary,6016
married,no,yes,no,5,0,36,entrepreneur,no,primary,177
married,no,no,yes,2,0,28,management,no,tertiary,3694
single,no,no,yes,6,4,58,retired,no,secondary,1640
divorced,no,yes,no,1,1,60,admin.,no,secondary,174
single,no,no,no,4,0,66,admin.,no,secondary,10177
single,no,no,no,8,1,36,management,yes,tertiary,490
married,no,yes,no,6,0,49,self-employed,no,secondary,2576
married,no,no,no,2,0,40,services,no,secondary,0
single,no,no,no,1,0,23,technician,no,secondary,598
single,no,no,no,3,7,29,management,no,tertiary,15459
married,no,yes,yes,1,0,44,blue-collar,no,primary,271
married,no,no,no,8,0,54,unknown,no,unknown,2508
married,no,no,no,2,0,47,blue-collar,no,primary,320
married,no,no,no,1,0,33,admin.,no,tertiary,640
married,no,yes,no,4,0,30,self-employed,no,secondary,1772
single,no,no,yes,1,0,27,admin.,no,secondary,15
divorced,no,yes,yes,1,2,49,management,no,tertiary,2370
single,no,yes,no,2,0,27,services,no,secondary,201
married,no,yes,no,1,1,51,blue-collar,no,secondary,160
divorced,yes,yes,yes,3,2,32,admin.,no,secondary,5
single,no,yes,no,1,0,30,blue-collar,no,secondary,75
married,no,yes,no,1,0,33,admin.,no,secondary,4902
single,no,yes,no,5,0,27,blue-collar,no,primary,-79
divorced,no,no,no,7,0,75,retired,yes,secondary,1341
divorced,no,yes,no,1,0,37,services,no,secondary,490
single,no,yes,no,2,0,36,technician,no,secondary,1521
married,no,yes,no,2,0,37,blue-collar,no,secondary,131
married,no,yes,no,4,0,35,management,no,tertiary,8
married,no,yes,yes,5,0,32,services,no,secondary,-632
single,no,no,yes,2,0,32,admin.,no,secondary,116
married,no,yes,no,1,0,35,admin.,no,primary,189
married,no,yes,yes,1,0,31,blue-collar,no,primary,2
single,no,yes,yes,2,0,28,blue-collar,no,secondary,4229
married,no,yes,no,1,1,27,services,no,secondary,54
single,no,no,no,1,0,22,student,no,unknown,549
married,no,yes,no,2,2,35,blue-collar,no,primary,298
married,no,no,no,1,0,69,retired,no,primary,579
single,no,yes,yes,1,0,37,entrepreneur,no,tertiary,1467
single,no,yes,no,1,0,45,admin.,no,secondary,0
married,no,yes,no,1,0,47,management,no,tertiary,109
married,no,yes,no,4,0,52,management,no,tertiary,-11
married,no,yes,no,2,0,33,services,no,secondary,90
married,no,no,no,4,0,60,blue-collar,yes,primary,493
divorced,no,yes,yes,1,0,33,management,no,secondary,1897
married,no,yes,no,2,0,44,admin.,no,secondary,2403
married,no,no,no,2,0,38,entrepreneur,no,secondary,868
married,no,yes,no,1,0,54,entrepreneur,no,secondary,653
divorced,no,no,no,4,0,32,unemployed,no,primary,0
married,no,yes,yes,2,0,33,technician,no,secondary,0
divorced,no,yes,no,2,0,55,services,no,secondary,218
married,no,no,yes,7,0,51,blue-collar,no,primary,5050
married,no,yes,no,1,0,48,blue-collar,no,secondary,741
single,no,yes,no,3,0,37,services,no,secondary,1050
single,no,no,yes,5,0,33,services,no,secondary,-56
married,no,yes,yes,2,0,30,blue-collar,no,primary,1
married,no,yes,yes,2,3,43,blue-collar,no,primary,-98
married,no,yes,no,2,0,49,technician,no,secondary,4667
married,no,yes,no,3,0,54,unemployed,no,primary,541
married,no,no,no,8,0,31,unemployed,no,tertiary,7744
married,no,no,no,1,0,54,unknown,yes,unknown,895
married,no,yes,no,3,0,36,unemployed,no,secondary,-129
married,no,no,no,5,0,30,admin.,no,secondary,0
single,no,no,no,2,0,27,technician,yes,secondary,158
married,no,yes,no,1,0,30,admin.,no,secondary,122
married,no,yes,no,2,0,30,blue-collar,no,secondary,673
divorced,no,no,no,4,0,35,technician,no,secondary,0
divorced,no,yes,no,1,0,33,services,no,secondary,411
divorced,no,yes,yes,4,0,43,blue-collar,no,primary,-97
married,no,yes,no,1,3,41,blue-collar,no,secondary,-217
divorced,no,no,no,9,5,41,management,yes,tertiary,5037
divorced,no,no,no,1,0,46,admin.,yes,secondary,2232
married,no,yes,no,1,0,54,blue-collar,no,secondary,-932
married,no,yes,no,1,4,32,management,no,tertiary,913
single,no,yes,no,1,0,30,technician,no,tertiary,236
married,no,yes,no,2,0,40,entrepreneur,no,primary,0
married,no,no,no,2,0,30,blue-collar,no,primary,2581
married,no,no,yes,3,0,27,admin.,no,secondary,639
married,no,yes,no,1,0,41,blue-collar,no,primary,849
married,no,yes,no,2,0,54,services,no,secondary,386
single,no,yes,no,2,0,32,management,no,tertiary,1218
married,no,yes,no,4,0,31,management,yes,tertiary,2603
married,no,yes,no,2,0,42,blue-collar,no,secondary,-921
married,no,no,no,2,0,48,admin.,no,primary,607
married,no,yes,no,2,0,34,blue-collar,no,primary,79
divorced,no,yes,yes,3,0,55,technician,no,secondary,61
married,no,no,no,2,0,49,technician,no,secondary,1091
divorced,no,no,no,2,0,46,management,no,tertiary,743
married,no,yes,no,2,0,47,entrepreneur,no,unknown,209
single,no,no,no,2,0,24,management,no,tertiary,172
married,no,no,no,1,0,58,entrepreneur,no,secondary,2
single,no,no,no,5,0,32,management,yes,tertiary,41
single,no,yes,no,3,0,25,student,no,secondary,1116
married,no,no,no,3,0,49,blue-collar,no,secondary,-55
divorced,no,no,no,2,0,59,retired,yes,secondary,5845
single,no,yes,no,16,0,30,management,no,tertiary,329
married,no,yes,no,1,0,46,blue-collar,no,secondary,494
married,no,no,no,1,1,42,management,yes,unknown,1519
married,no,no,no,2,0,37,entrepreneur,no,tertiary,2685
married,no,yes,yes,4,0,44,blue-collar,no,primary,-14
married,no,no,yes,3,0,49,services,no,secondary,5673
married,no,no,no,1,0,41,blue-collar,no,secondary,1459
married,no,no,no,15,0,48,technician,no,tertiary,0
married,no,yes,no,1,1,31,management,no,secondary,625
married,no,no,no,1,0,37,student,no,unknown,0
married,no,yes,no,2,3,51,services,no,secondary,867
married,no,no,no,1,12,80,retired,yes,secondary,8304
single,no,yes,no,1,0,32,management,no,tertiary,151
married,yes,yes,no,7,0,48,services,no,primary,-583
married,no,no,no,1,0,49,blue-collar,no,tertiary,1784
married,no,yes,no,1,0,30,management,no,tertiary,3134
single,no,yes,no,2,0,27,self-employed,no,secondary,49
married,no,no,no,4,0,34,technician,no,secondary,-346
married,no,yes,no,2,0,49,management,yes,secondary,1623
married,no,no,no,2,7,48,management,no,tertiary,60
married,no,no,no,1,0,40,services,no,secondary,17
married,no,yes,no,1,0,38,blue-collar,no,secondary,2008
married,no,yes,no,1,2,46,blue-collar,no,primary,91
married,no,yes,no,1,4,41,entrepreneur,no,tertiary,171
single,no,yes,no,1,0,28,management,no,tertiary,1027
married,no,yes,no,2,0,51,services,no,unknown,5801
divorced,no,yes,no,2,5,33,blue-collar,no,primary,142
single,no,no,no,1,0,26,management,no,tertiary,205
single,no,no,no,2,0,34,admin.,no,secondary,852
married,yes,yes,no,2,0,27,blue-collar,no,secondary,-584
married,no,no,no,2,0,42,self-employed,no,secondary,97
married,no,yes,no,2,0,45,admin.,yes,secondary,204
single,no,yes,no,2,0,31,technician,no,secondary,628
single,no,no,no,2,0,32,management,yes,tertiary,311
married,no,no,no,1,0,39,blue-collar,no,primary,1564
single,no,yes,yes,5,0,26,blue-collar,no,secondary,856
single,no,no,no,2,1,40,management,no,tertiary,1509
married,no,no,no,1,0,52,services,no,secondary,-888
single,no,no,no,2,0,40,technician,no,tertiary,226
married,no,no,yes,5,0,48,technician,no,secondary,127
married,no,yes,no,1,0,31,services,no,secondary,413
married,no,yes,yes,1,2,27,admin.,yes,secondary,710
married,no,yes,no,1,2,47,technician,yes,secondary,1233
single,no,no,no,1,0,28,management,yes,secondary,171
divorced,no,yes,no,2,2,40,management,no,tertiary,69
married,no,yes,no,1,2,34,admin.,no,secondary,1499
married,no,yes,no,2,0,29,self-employed,no,tertiary,751
married,no,no,yes,2,0,36,management,no,tertiary,61
married,no,no,no,1,1,83,retired,yes,primary,425
divorced,no,yes,no,2,0,55,services,no,primary,2923
divorced,no,no,no,3,0,43,management,no,tertiary,99
single,no,no,no,9,0,23,student,no,secondary,1021
married,no,no,no,2,0,44,technician,no,tertiary,1146
married,no,yes,no,2,0,58,blue-collar,no,primary,781
single,no,no,no,1,7,29,admin.,no,secondary,1448
single,no,no,yes,1,0,30,management,no,tertiary,604
single,no,yes,no,1,0,29,admin.,no,secondary,-194
married,no,no,no,1,0,41,technician,no,secondary,0
married,no,yes,no,3,0,35,housemaid,no,primary,0
single,no,yes,no,4,0,31,technician,no,secondary,1014
single,no,no,no,1,0,27,admin.,no,tertiary,73
married,no,yes,no,1,0,47,services,no,secondary,2597
married,no,yes,yes,30,0,53,self-employed,no,tertiary,2627
married,no,yes,no,3,0,34,management,no,tertiary,1906
married,no,yes,yes,4,0,34,blue-collar,no,primary,-319
married,no,yes,no,3,0,36,management,no,tertiary,-296
married,no,yes,no,4,0,40,technician,no,secondary,169
single,no,no,no,2,0,37,self-employed,no,tertiary,556
divorced,no,no,no,2,0,65,retired,no,unknown,300
divorced,no,yes,no,4,0,53,technician,no,secondary,751
single,no,no,no,1,0,28,technician,no,secondary,126
divorced,no,yes,no,1,0,33,technician,no,tertiary,-386
married,no,no,no,5,0,56,blue-collar,no,primary,379
married,no,no,no,2,1,45,self-employed,no,secondary,706
married,no,no,no,1,0,39,technician,no,secondary,9121
single,no,yes,no,1,0,28,management,no,tertiary,1466
married,no,yes,no,2,0,36,blue-collar,no,primary,0
married,no,yes,no,4,0,41,blue-collar,no,primary,951
married,no,no,no,1,4,46,admin.,yes,secondary,368
married,no,yes,no,6,5,41,blue-collar,no,secondary,121
married,no,no,no,2,0,59,services,no,secondary,204
married,no,yes,no,1,1,24,admin.,no,secondary,299
married,no,yes,no,1,0,34,management,no,tertiary,4170
married,no,yes,no,1,0,40,blue-collar,no,primary,-335
married,no,yes,no,4,0,42,admin.,no,secondary,3165
married,no,yes,no,2,1,50,services,no,secondary,254
single,no,yes,no,4,1,25,management,no,tertiary,553
divorced,no,yes,no,1,0,51,services,no,secondary,518
married,no,no,yes,1,0,50,management,no,tertiary,85
married,no,yes,no,2,0,37,blue-collar,no,unknown,603
single,no,no,no,1,1,21,services,no,secondary,361
married,no,yes,no,1,0,52,blue-collar,no,secondary,-98
married,no,no,no,4,0,55,retired,no,primary,4424
single,no,yes,yes,1,0,26,technician,no,secondary,2610
married,no,no,no,2,0,38,technician,yes,tertiary,3234
married,no,yes,no,1,0,32,blue-collar,no,secondary,687
married,no,yes,no,4,0,31,blue-collar,no,secondary,631
single,no,no,yes,1,3,34,technician,no,secondary,341
single,no,no,no,3,0,33,technician,no,tertiary,316
married,no,no,no,3,0,35,technician,no,secondary,2
married,no,yes,no,7,0,44,management,no,unknown,415
divorced,no,yes,no,1,0,48,management,no,tertiary,507
married,no,yes,no,1,0,29,blue-collar,no,secondary,912
married,no,no,no,5,0,50,management,no,tertiary,0
married,no,yes,no,2,1,37,blue-collar,no,primary,37
single,no,no,no,1,0,44,admin.,no,secondary,2524
single,no,yes,no,3,0,36,unemployed,no,tertiary,9019
divorced,no,yes,no,5,0,49,blue-collar,no,unknown,39
married,no,yes,no,1,0,31,blue-collar,no,secondary,0
divorced,no,yes,no,6,0,49,technician,no,secondary,265
single,no,yes,no,1,4,35,blue-collar,yes,secondary,0
divorced,no,no,no,1,0,57,admin.,no,unknown,4012
married,no,yes,no,1,0,42,blue-collar,no,primary,1520
divorced,no,yes,no,2,0,36,blue-collar,no,secondary,-140
divorced,no,no,no,1,0,75,retired,no,primary,852
single,no,yes,no,2,0,38,blue-collar,no,secondary,578
married,yes,yes,no,2,0,40,blue-collar,no,primary,0
single,no,yes,no,3,0,38,services,yes,secondary,2253
single,no,yes,no,1,0,34,management,no,tertiary,1171
single,no,yes,no,1,0,29,technician,no,tertiary,452
married,no,yes,no,1,2,28,admin.,no,secondary,-97
married,no,no,no,5,0,79,retired,no,secondary,4738
divorced,no,yes,no,1,0,51,admin.,no,secondary,467
single,no,no,no,5,6,32,student,no,tertiary,0
married,no,no,no,3,2,36,management,yes,tertiary,495
married,no,no,yes,11,1,38,entrepreneur,no,secondary,157
married,no,yes,yes,3,0,49,self-employed,no,secondary,358
married,no,yes,no,3,0,42,services,no,secondary,292
married,no,yes,no,4,0,43,blue-collar,no,primary,7343
married,no,yes,no,1,0,34,blue-collar,no,secondary,-563
single,no,yes,no,5,0,59,retired,yes,secondary,351
married,no,no,no,2,0,35,unknown,no,primary,365
single,no,yes,no,25,0,33,blue-collar,no,secondary,13494
single,no,yes,no,2,0,34,admin.,no,secondary,846
married,no,no,no,3,0,64,retired,yes,secondary,1574
married,no,yes,no,1,0,34,entrepreneur,no,tertiary,-28
married,no,no,no,1,1,77,retired,yes,tertiary,0
married,no,no,yes,5,0,57,retired,no,primary,2927
married,no,yes,yes,1,0,30,blue-collar,no,secondary,501
divorced,yes,no,no,1,0,56,housemaid,yes,primary,1238
married,no,no,no,2,0,49,unknown,no,unknown,301
married,no,no,no,3,3,73,retired,no,primary,1388
single,no,yes,no,2,0,39,technician,no,secondary,102
divorced,no,yes,no,2,2,57,technician,no,primary,13
married,no,yes,no,2,0,32,self-employed,no,secondary,413
single,no,yes,no,2,0,32,technician,yes,tertiary,4665
married,no,yes,no,9,0,45,admin.,no,secondary,638
married,no,yes,no,4,0,32,blue-collar,no,secondary,101
married,no,yes,yes,2,0,31,management,yes,tertiary,1224
married,no,no,no,2,0,49,self-employed,no,secondary,1103
married,no,no,no,3,0,29,services,no,secondary,3748
married,no,yes,no,1,0,55,technician,no,secondary,955
married,no,yes,no,1,0,30,admin.,no,secondary,518
single,no,yes,no,6,0,45,services,yes,primary,1893
married,no,no,no,2,0,39,technician,no,tertiary,14
married,no,yes,yes,1,0,36,admin.,no,secondary,-423
married,no,no,no,1,3,33,management,no,tertiary,3696
married,no,yes,no,1,0,36,management,yes,tertiary,2987
single,no,no,no,2,0,31,technician,no,secondary,433
married,no,no,no,3,0,36,technician,no,unknown,756
single,no,yes,no,1,0,38,technician,no,tertiary,0
married,no,no,no,3,0,33,unknown,no,secondary,2727
married,no,yes,no,2,0,40,technician,no,secondary,93
married,no,no,yes,2,0,31,blue-collar,yes,secondary,1766
married,no,yes,no,5,0,39,services,no,secondary,124
married,no,no,yes,2,0,33,admin.,no,tertiary,69
divorced,no,no,no,2,0,53,services,yes,secondary,0
married,no,yes,no,5,2,38,management,no,tertiary,0
married,no,no,no,1,1,59,technician,yes,secondary,259
married,no,no,no,1,0,55,blue-collar,no,primary,4103
single,no,yes,no,1,12,38,technician,no,tertiary,744
married,no,yes,no,4,0,48,services,no,secondary,116
married,no,yes,no,2,0,53,blue-collar,no,secondary,70
divorced,no,no,no,3,0,44,admin.,no,secondary,432
married,no,no,no,1,0,57,management,no,tertiary,1172
single,no,yes,no,3,0,29,blue-collar,no,secondary,9
married,no,yes,no,1,0,31,services,no,secondary,428
single,no,yes,no,1,3,35,technician,no,tertiary,7546
married,no,no,no,1,0,31,blue-collar,no,primary,620
married,no,no,no,2,0,35,self-employed,no,tertiary,8647
single,no,yes,no,11,0,40,management,no,secondary,192
married,no,yes,no,1,2,39,blue-collar,no,secondary,0
single,no,yes,no,7,0,43,technician,no,tertiary,27733
married,no,yes,yes,1,0,44,entrepreneur,no,primary,276
single,no,no,no,2,4,29,technician,yes,secondary,113
married,no,yes,no,2,0,40,technician,no,secondary,782
married,no,yes,no,2,0,33,entrepreneur,no,primary,82
married,no,no,no,13,0,46,management,no,tertiary,1008
single,no,no,no,4,0,27,unknown,no,tertiary,6421
single,no,no,no,3,0,26,admin.,no,secondary,443
married,no,yes,no,1,0,41,technician,no,secondary,351
married,no,yes,no,21,0,34,technician,no,tertiary,5060
single,no,no,yes,15,0,39,technician,no,tertiary,-41
single,no,no,no,1,0,27,services,no,secondary,-124
married,no,yes,yes,11,0,31,blue-collar,no,secondary,79
single,no,no,no,1,0,44,unemployed,no,secondary,3945
married,no,no,yes,1,0,55,retired,no,tertiary,197
divorced,no,no,no,2,0,51,blue-collar,no,primary,837
married,no,no,yes,1,0,50,management,no,tertiary,-94
married,no,yes,no,4,0,30,services,no,secondary,1743
married,no,no,no,1,0,46,technician,yes,secondary,57
married,no,no,no,3,0,49,admin.,no,secondary,635
married,no,yes,yes,2,0,56,retired,no,secondary,-113
divorced,no,no,no,4,0,47,admin.,yes,secondary,225
married,no,no,no,2,0,30,admin.,no,secondary,124
single,no,no,no,3,0,36,entrepreneur,no,secondary,475
married,no,no,yes,1,0,40,management,no,tertiary,-7
single,yes,no,no,2,0,37,technician,no,secondary,375
divorced,no,no,no,1,0,42,admin.,yes,secondary,936
married,no,yes,no,1,1,45,technician,no,secondary,1415
single,no,no,no,2,0,34,unemployed,no,secondary,0
single,no,no,no,5,0,27,admin.,no,secondary,3638
married,no,yes,no,5,0,30,blue-collar,no,secondary,-99
married,no,yes,yes,3,0,32,technician,no,secondary,167
married,no,yes,no,1,0,46,housemaid,no,primary,19
married,no,yes,no,4,0,29,self-employed,no,tertiary,242
married,no,no,no,1,0,53,unknown,no,unknown,13
married,no,no,no,1,4,32,technician,no,secondary,286
married,no,yes,no,1,0,49,unemployed,no,secondary,769
married,no,no,no,2,1,35,management,no,tertiary,93
married,no,yes,no,3,1,38,blue-collar,no,secondary,1663
married,no,yes,yes,1,0,39,entrepreneur,no,primary,238
single,no,yes,no,1,0,34,technician,no,secondary,2178
married,no,yes,yes,2,12,42,blue-collar,no,primary,792
single,no,yes,no,3,0,35,blue-collar,no,unknown,871
married,no,no,no,8,0,60,admin.,no,secondary,1025
divorced,no,yes,no,1,0,57,technician,no,secondary,63
single,no,no,no,1,0,31,blue-collar,no,secondary,16
single,no,no,no,1,0,29,management,no,secondary,417
married,no,yes,no,2,0,41,services,no,secondary,3992
married,no,yes,no,1,0,46,blue-collar,no,primary,2749
married,no,no,no,1,0,33,technician,yes,secondary,133
single,no,yes,no,2,0,32,blue-collar,no,secondary,1721
divorced,no,yes,yes,1,0,54,management,yes,tertiary,2171
married,no,yes,no,2,2,37,services,no,secondary,4760
single,no,no,no,1,0,32,technician,no,secondary,2979
married,no,yes,no,3,0,43,management,no,tertiary,690
divorced,no,yes,no,1,4,50,blue-collar,no,secondary,203
married,no,yes,no,3,0,34,blue-collar,no,secondary,322
divorced,no,no,no,1,0,31,admin.,no,secondary,1210
married,no,yes,no,1,1,43,self-employed,no,secondary,634
married,no,no,no,1,0,49,entrepreneur,no,secondary,273
single,no,no,no,3,0,22,student,no,unknown,47
married,no,no,yes,2,0,35,management,no,tertiary,1100
married,no,yes,no,2,0,56,admin.,no,secondary,0
married,no,no,no,4,0,53,blue-collar,no,secondary,0
married,no,no,yes,7,3,54,entrepreneur,no,tertiary,1544
single,no,yes,no,1,13,32,services,no,unknown,6145
married,no,yes,no,1,0,41,self-employed,no,secondary,28
married,no,yes,no,1,0,40,blue-collar,no,secondary,1012
married,no,yes,yes,3,0,33,blue-collar,no,primary,245
single,no,no,no,1,0,33,management,no,tertiary,1998
married,no,yes,no,7,0,34,blue-collar,no,secondary,3990
married,no,yes,no,4,0,36,services,no,secondary,1328
married,no,yes,yes,1,0,34,entrepreneur,no,tertiary,412
married,no,no,yes,3,0,55,management,no,primary,229
single,no,no,no,4,0,28,student,yes,tertiary,1562
single,no,yes,no,2,0,29,admin.,no,secondary,3432
single,no,yes,no,11,0,31,admin.,no,secondary,144
married,no,yes,no,5,0,52,management,no,tertiary,1339
married,no,no,yes,1,1,54,services,no,unknown,386
married,no,yes,no,8,0,43,blue-collar,no,primary,7727
married,no,no,no,13,0,55,entrepreneur,no,secondary,204
